# ID,farmer_ID,land_use,yield
374,53,1,10
375,53,1,10
376,53,1,10
377,568,1,10
378,53,1,10
379,53,1,10
380,53,1,10
381,531,1,10
382,531,1,10
383,772,1,10
384,531,1,10
385,531,1,10
386,772,1,10
387,53,1,10
388,531,1,10
389,233,1,10
390,772,1,10
391,53,1,10
392,568,1,10
393,531,1,10
394,501,1,10
395,53,1,10
396,557,1,10
397,53,1,10
398,772,1,10
399,53,1,10
400,53,1,10
401,233,1,10
402,772,1,10
403,772,1,10
404,53,1,10
405,233,1,10
406,568,1,10
407,568,1,10
408,53,1,10
409,53,1,10
410,53,1,10
411,53,1,10
412,557,1,10
413,53,1,10
414,53,1,10
415,53,1,10
416,568,1,10
417,53,1,10
418,18,1,10
419,18,1,10
420,772,1,10
421,18,1,10
422,53,1,10
423,557,1,10
424,233,1,10
425,233,1,10
426,500,1,10
427,531,1,10
428,53,1,10
429,568,1,10
430,53,1,10
431,53,1,10
432,557,1,10
433,557,1,10
434,53,1,10
435,53,1,10
436,53,1,10
437,233,1,10
438,18,1,10
439,18,1,10
440,18,1,10
441,53,1,10
442,233,1,10
443,531,1,10
444,18,1,10
445,500,1,10
446,568,1,10
447,500,1,10
448,531,1,10
449,531,1,10
450,568,1,10
451,500,1,10
452,18,1,10
453,18,1,10
454,537,1,10
455,500,1,10
456,53,1,10
457,531,1,10
458,500,1,10
459,53,1,10
460,531,1,10
461,568,1,10
462,53,1,10
463,53,1,10
464,557,1,10
465,500,1,10
466,557,1,10
467,500,1,10
468,557,1,10
469,568,1,10
470,53,1,10
471,53,1,10
472,18,1,10
473,18,1,10
474,18,1,10
475,18,1,10
476,557,1,10
477,18,1,10
478,53,1,10
479,557,1,10
480,568,1,10
481,547,1,10
482,18,1,10
483,547,1,10
484,547,1,10
485,547,1,10
486,18,1,10
487,53,1,10
488,557,1,10
489,547,1,10
490,537,1,10
491,53,1,10
492,547,1,10
493,53,1,10
494,18,1,10
495,547,1,10
496,53,1,10
497,537,1,10
498,18,1,10
499,557,1,10
500,537,1,10
501,500,1,10
502,53,1,10
503,547,1,10
504,500,1,10
505,557,1,10
506,547,1,10
507,547,1,10
508,537,1,10
509,547,1,10
510,537,1,10
511,500,1,10
512,439,1,10
513,18,1,10
514,547,1,10
515,18,1,10
516,547,1,10
517,233,1,10
518,500,1,10
519,547,1,10
520,500,1,10
521,537,1,10
522,500,1,10
523,53,1,10
524,53,1,10
525,557,1,10
526,537,1,10
527,53,1,10
528,537,1,10
529,537,1,10
530,439,1,10
531,500,1,10
532,537,1,10
533,500,1,10
534,537,1,10
535,547,1,10
536,500,1,10
537,18,1,10
538,547,1,10
539,18,1,10
540,53,1,10
541,547,1,10
542,547,1,10
543,500,1,10
544,537,1,10
545,500,1,10
546,547,1,10
547,500,1,10
548,500,1,10
549,547,1,10
550,557,1,10
551,500,1,10
552,717,1,10
553,547,1,10
554,537,1,10
555,717,1,10
556,500,1,10
557,500,1,10
558,557,1,10
559,14,1,10
560,53,1,10
561,557,1,10
562,547,1,10
563,500,1,10
564,500,1,10
565,53,1,10
566,557,1,10
567,894,1,10
568,547,1,10
569,894,1,10
570,53,1,10
571,557,1,10
572,500,1,10
573,53,1,10
574,989,1,10
575,53,1,10
576,14,1,10
577,537,1,10
578,547,1,10
579,717,1,10
580,18,1,10
581,547,1,10
582,717,1,10
583,557,1,10
584,894,1,10
585,717,1,10
586,547,1,10
587,18,1,10
588,547,1,10
589,500,1,10
590,547,1,10
591,500,1,10
592,500,1,10
593,557,1,10
594,500,1,10
595,500,1,10
596,500,1,10
597,557,1,10
598,377,1,10
599,500,1,10
600,557,1,10
601,14,1,10
602,500,1,10
603,233,1,10
604,439,1,10
605,557,1,10
606,500,1,10
607,557,1,10
608,500,1,10
609,500,1,10
610,894,1,10
611,14,1,10
612,500,1,10
613,439,1,10
614,53,1,10
615,439,1,10
616,500,1,10
617,500,1,10
618,53,1,10
619,557,1,10
620,894,1,10
621,53,1,10
622,53,1,10
623,894,1,10
624,537,1,10
625,500,1,10
626,53,1,10
627,537,1,10
628,500,1,10
629,53,1,10
630,53,1,10
631,557,1,10
632,557,1,10
633,377,1,10
634,439,1,10
635,717,1,10
636,500,1,10
637,547,1,10
638,14,1,10
639,547,1,10
640,500,1,10
641,14,1,10
642,439,1,10
643,14,1,10
644,439,1,10
645,500,1,10
646,557,1,10
647,14,1,10
648,14,1,10
649,500,1,10
650,500,1,10
651,338,1,10
652,557,1,10
653,894,1,10
654,14,1,10
655,557,1,10
656,14,1,10
657,439,1,10
658,14,1,10
659,53,1,10
660,439,1,10
661,439,1,10
662,439,1,10
663,439,1,10
664,14,1,10
665,14,1,10
666,14,1,10
667,53,1,10
668,53,1,10
669,439,1,10
670,894,1,10
671,53,1,10
672,894,1,10
673,894,1,10
674,14,1,10
675,53,1,10
676,53,1,10
677,377,1,10
678,894,1,10
679,377,1,10
680,289,1,10
681,53,1,10
682,557,1,10
683,439,1,10
684,289,1,10
685,14,1,10
686,289,1,10
687,500,1,10
688,14,1,10
689,439,1,10
690,500,1,10
691,14,1,10
692,439,1,10
693,500,1,10
694,500,1,10
695,500,1,10
696,557,1,10
697,894,1,10
698,894,1,10
699,37,1,10
700,500,1,10
701,894,1,10
702,500,1,10
703,439,1,10
704,53,1,10
705,894,1,10
706,439,1,10
707,557,1,10
708,14,1,10
709,377,1,10
710,439,1,10
711,894,1,10
712,37,1,10
713,894,1,10
714,557,1,10
715,439,1,10
716,500,1,10
717,894,1,10
718,377,1,10
719,894,1,10
720,14,1,10
721,14,1,10
722,439,1,10
723,53,1,10
724,53,1,10
725,894,1,10
726,894,1,10
727,439,1,10
728,53,1,10
729,500,1,10
730,53,1,10
731,894,1,10
732,439,1,10
733,894,1,10
734,439,1,10
735,377,1,10
736,289,1,10
737,53,1,10
738,894,1,10
739,377,1,10
740,289,1,10
741,14,1,10
742,14,1,10
743,14,1,10
744,439,1,10
745,14,1,10
746,37,1,10
747,14,1,10
748,11,1,10
749,14,1,10
750,14,1,10
751,439,1,10
752,557,1,10
753,289,1,10
754,557,1,10
755,14,1,10
756,14,1,10
757,37,1,10
758,439,1,10
759,894,1,10
760,439,1,10
761,37,1,10
762,14,1,10
763,439,1,10
764,37,1,10
765,557,1,10
766,894,1,10
767,500,1,10
768,500,1,10
769,557,1,10
770,894,1,10
771,37,1,10
772,894,1,10
773,439,1,10
774,439,1,10
775,894,1,10
776,14,1,10
777,53,1,10
778,894,1,10
779,14,1,10
780,894,1,10
781,289,1,10
782,377,1,10
783,37,1,10
784,289,1,10
785,894,1,10
786,289,1,10
787,289,1,10
788,338,1,10
789,14,1,10
790,14,1,10
791,894,1,10
792,14,1,10
793,557,1,10
794,289,1,10
795,338,1,10
796,894,1,10
797,289,1,10
798,894,1,10
799,338,1,10
800,718,1,10
801,439,1,10
802,439,1,10
803,37,1,10
804,500,1,10
805,557,1,10
806,11,1,10
807,557,1,10
808,894,1,10
809,14,1,10
810,14,1,10
811,14,1,10
812,37,1,10
813,289,1,10
814,894,1,10
815,11,1,10
816,439,1,10
817,289,1,10
818,289,1,10
819,439,1,10
820,289,1,10
821,14,1,10
822,557,1,10
823,14,1,10
824,377,1,10
825,439,1,10
826,718,1,10
827,11,1,10
828,439,1,10
829,377,1,10
830,557,1,10
831,14,1,10
832,377,1,10
833,37,1,10
834,557,1,10
835,377,1,10
836,439,1,10
837,557,1,10
838,11,1,10
839,439,1,10
840,557,1,10
841,14,1,10
842,37,1,10
843,37,1,10
844,11,1,10
845,439,1,10
846,557,1,10
847,894,1,10
848,14,1,10
849,289,1,10
850,894,1,10
851,439,1,10
852,439,1,10
853,439,1,10
854,289,1,10
855,894,1,10
856,439,1,10
857,289,1,10
858,894,1,10
859,289,1,10
860,289,1,10
861,439,1,10
862,37,1,10
863,894,1,10
864,14,1,10
865,377,1,10
866,37,1,10
867,718,1,10
868,37,1,10
869,718,1,10
870,11,1,10
871,393,1,10
872,439,1,10
873,417,1,10
874,11,1,10
875,14,1,10
876,439,1,10
877,37,1,10
878,338,1,10
879,894,1,10
880,11,1,10
881,439,1,10
882,439,1,10
883,338,1,10
884,557,1,10
885,11,1,10
886,11,1,10
887,377,1,10
888,37,1,10
889,11,1,10
890,115,1,10
891,289,1,10
892,557,1,10
893,11,1,10
894,115,1,10
895,11,1,10
896,894,1,10
897,11,1,10
898,377,1,10
899,115,1,10
900,37,1,10
901,894,1,10
902,11,1,10
903,11,1,10
904,894,1,10
905,11,1,10
906,377,1,10
907,115,1,10
908,11,1,10
909,14,1,10
910,115,1,10
911,219,1,10
912,417,1,10
913,37,1,10
914,894,1,10
915,778,1,10
916,11,1,10
917,377,1,10
918,439,1,10
919,377,1,10
920,37,1,10
921,11,1,10
922,338,1,10
923,894,1,10
924,377,1,10
925,557,1,10
926,377,1,10
927,115,1,10
928,37,1,10
929,718,1,10
930,11,1,10
931,377,1,10
932,377,1,10
933,417,1,10
934,377,1,10
935,115,1,10
936,115,1,10
937,37,1,10
938,219,1,10
939,14,1,10
940,439,1,10
941,894,1,10
942,417,1,10
943,270,1,10
944,270,1,10
945,778,1,10
946,11,1,10
947,377,1,10
948,115,1,10
949,37,1,10
950,778,1,10
951,11,1,10
952,894,1,10
953,11,1,10
954,393,1,10
955,289,1,10
956,377,1,10
957,557,1,10
958,383,1,10
959,115,1,10
960,115,1,10
961,894,1,10
962,115,1,10
963,115,1,10
964,887,1,10
965,417,1,10
966,11,1,10
967,115,1,10
968,557,1,10
969,11,1,10
970,115,1,10
971,11,1,10
972,11,1,10
973,115,1,10
974,778,1,10
975,115,1,10
976,393,1,10
977,115,1,10
978,115,1,10
979,894,1,10
980,887,1,10
981,929,1,10
982,270,1,10
983,270,1,10
984,894,1,10
985,894,1,10
986,377,1,10
987,894,1,10
988,11,1,10
989,377,1,10
990,219,1,10
991,417,1,10
992,557,1,10
993,11,1,10
994,115,1,10
995,115,1,10
996,417,1,10
997,219,1,10
998,417,1,10
999,393,1,10
1000,894,1,10
1001,11,1,10
1002,887,1,10
1003,219,1,10
1004,894,1,10
1005,383,1,10
1006,11,1,10
1007,393,1,10
1008,383,1,10
1009,393,1,10
1010,11,1,10
1011,11,1,10
1012,393,1,10
1013,219,1,10
1014,948,1,10
1015,11,1,10
1016,11,1,10
1017,377,1,10
1018,115,1,10
1019,887,1,10
1020,887,1,10
1021,270,1,10
1022,115,1,10
1023,115,1,10
1024,11,1,10
1025,11,1,10
1026,115,1,10
1027,894,1,10
1028,11,1,10
1029,115,1,10
1030,115,1,10
1031,383,1,10
1032,929,1,10
1033,11,1,10
1034,377,1,10
1035,417,1,10
1036,948,1,10
1037,383,1,10
1038,219,1,10
1039,11,1,10
1040,115,1,10
1041,417,1,10
1042,417,1,10
1043,219,1,10
1044,383,1,10
1045,11,1,10
1046,219,1,10
1047,267,1,10
1048,383,1,10
1049,383,1,10
1050,393,1,10
1051,11,1,10
1052,115,1,10
1053,219,1,10
1054,894,1,10
1055,800,1,10
1056,894,1,10
1057,11,1,10
1058,800,1,10
1059,267,1,10
1060,11,1,10
1061,393,1,10
1062,417,1,10
1063,267,1,10
1064,11,1,10
1065,417,1,10
1066,267,1,10
1067,115,1,10
1068,417,1,10
1069,267,1,10
1070,766,1,10
1071,11,1,10
1072,115,1,10
1073,219,1,10
1074,766,1,10
1075,766,1,10
1076,383,1,10
1077,417,1,10
1078,383,1,10
1079,393,1,10
1080,417,1,10
1081,766,1,10
1082,11,1,10
1083,393,1,10
1084,887,1,10
1085,241,1,10
1086,115,1,10
1087,115,1,10
1088,219,1,10
1089,11,1,10
1090,219,1,10
1091,267,1,10
1092,11,1,10
1093,115,1,10
1094,144,1,10
1095,800,1,10
1096,417,1,10
1097,766,1,10
1098,11,1,10
1099,241,1,10
1100,766,1,10
1101,383,1,10
1102,11,1,10
1103,219,1,10
1104,115,1,10
1105,766,1,10
1106,383,1,10
1107,417,1,10
1108,417,1,10
1109,115,1,10
1110,383,1,10
1111,11,1,10
1112,11,1,10
1113,393,1,10
1114,417,1,10
1115,267,1,10
1116,11,1,10
1117,115,1,10
1118,766,1,10
1119,383,1,10
1120,800,1,10
1121,219,1,10
1122,766,1,10
1123,417,1,10
1124,241,1,10
1125,115,1,10
1126,417,1,10
1127,417,1,10
1128,766,1,10
1129,766,1,10
1130,383,1,10
1131,241,1,10
1132,800,1,10
1133,417,1,10
1134,766,1,10
1135,267,1,10
1136,11,1,10
1137,948,1,10
1138,393,1,10
1139,766,1,10
1140,11,1,10
1141,393,1,10
1142,887,1,10
1143,948,1,10
1144,219,1,10
1145,115,1,10
1146,383,1,10
1147,241,1,10
1148,115,1,10
1149,115,1,10
1150,766,1,10
1151,766,1,10
1152,267,1,10
1153,11,1,10
1154,934,1,10
1155,115,1,10
1156,417,1,10
1157,948,1,10
1158,115,1,10
1159,115,1,10
1160,219,1,10
1161,383,1,10
1162,241,1,10
1163,766,1,10
1164,219,1,10
1165,417,1,10
1166,383,1,10
1167,800,1,10
1168,887,1,10
1169,267,1,10
1170,417,1,10
1171,267,1,10
1172,144,1,10
1173,241,1,10
1174,144,1,10
1175,766,1,10
1176,766,1,10
1177,115,1,10
1178,417,1,10
1179,241,1,10
1180,115,1,10
1181,101,1,10
1182,417,1,10
1183,766,1,10
1184,383,1,10
1185,115,1,10
1186,60,1,10
1187,241,1,10
1188,766,1,10
1189,241,1,10
1190,115,1,10
1191,417,1,10
1192,267,1,10
1193,60,1,10
1194,766,1,10
1195,241,1,10
1196,417,1,10
1197,60,1,10
1198,417,1,10
1199,948,1,10
1200,241,1,10
1201,101,1,10
1202,948,1,10
1203,241,1,10
1204,267,1,10
1205,241,1,10
1206,101,1,10
1207,948,1,10
1208,241,1,10
1209,115,1,10
1210,948,1,10
1211,766,1,10
1212,267,1,10
1213,383,1,10
1214,241,1,10
1215,115,1,10
1216,115,1,10
1217,115,1,10
1218,383,1,10
1219,948,1,10
1220,241,1,10
1221,115,1,10
1222,115,1,10
1223,267,1,10
1224,383,1,10
1225,241,1,10
1226,241,1,10
1227,101,1,10
1228,948,1,10
1229,60,1,10
1230,766,1,10
1231,241,1,10
1232,267,1,10
1233,267,1,10
1234,241,1,10
1235,241,1,10
1236,144,1,10
1237,766,1,10
1238,144,1,10
1239,241,1,10
1240,241,1,10
1241,241,1,10
1242,101,1,10
1243,144,1,10
1244,115,1,10
1245,115,1,10
1246,101,1,10
1247,144,1,10
1248,60,1,10
1249,766,1,10
1250,383,1,10
1251,383,1,10
1252,241,1,10
1253,383,1,10
1254,241,1,10
1255,101,1,10
1256,144,1,10
1257,291,1,10
1258,766,1,10
1259,948,1,10
1260,241,1,10
1261,115,1,10
1262,158,1,10
1263,158,1,10
1264,241,1,10
1265,115,1,10
1266,158,1,10
1267,144,1,10
1268,158,1,10
1269,766,1,10
1270,948,1,10
1271,383,1,10
1272,948,1,10
1273,101,1,10
1274,241,1,10
1275,241,1,10
1276,115,1,10
1277,158,1,10
1278,267,1,10
1279,383,1,10
1280,115,1,10
1281,115,1,10
1282,241,1,10
1283,101,1,10
1284,60,1,10
1285,766,1,10
1286,241,1,10
1287,115,1,10
1288,766,1,10
1289,383,1,10
1290,383,1,10
1291,241,1,10
1292,115,1,10
1293,101,1,10
1294,241,1,10
1295,101,1,10
1296,291,1,10
1297,158,1,10
1298,267,1,10
1299,241,1,10
1300,241,1,10
1301,158,1,10
1302,267,1,10
1303,241,1,10
1304,241,1,10
1305,241,1,10
1306,101,1,10
1307,766,1,10
1308,241,1,10
1309,144,1,10
1310,766,1,10
1311,101,1,10
1312,766,1,10
1313,101,1,10
1314,60,1,10
1315,101,1,10
1316,766,1,10
1317,241,1,10
1318,144,1,10
1319,158,1,10
1320,158,1,10
1321,766,1,10
1322,241,1,10
1323,144,1,10
1324,766,1,10
1325,144,1,10
1326,766,1,10
1327,267,1,10
1328,241,1,10
1329,101,1,10
1330,766,1,10
1331,241,1,10
1332,776,1,10
1333,144,1,10
1334,158,1,10
1335,241,1,10
1336,144,1,10
1337,144,1,10
1338,158,1,10
1339,776,1,10
1340,158,1,10
1341,115,1,10
1342,241,1,10
1343,158,1,10
1344,766,1,10
1345,115,1,10
1346,101,1,10
1347,776,1,10
1348,36,1,10
1349,158,1,10
1350,383,1,10
1351,383,1,10
1352,241,1,10
1353,241,1,10
1354,776,1,10
1355,766,1,10
1356,267,1,10
1357,115,1,10
1358,158,1,10
1359,383,1,10
1360,158,1,10
1361,766,1,10
1362,158,1,10
1363,267,1,10
1364,267,1,10
1365,383,1,10
1366,158,1,10
1367,383,1,10
1368,36,1,10
1369,144,1,10
1370,144,1,10
1371,158,1,10
1372,383,1,10
1373,241,1,10
1374,241,1,10
1375,776,1,10
1376,144,1,10
1377,144,1,10
1378,36,1,10
1379,144,1,10
1380,144,1,10
1381,144,1,10
1382,241,1,10
1383,158,1,10
1384,158,1,10
1385,766,1,10
1386,766,1,10
1387,766,1,10
1388,776,1,10
1389,776,1,10
1390,776,1,10
1391,115,1,10
1392,144,1,10
1393,766,1,10
1394,766,1,10
1395,60,1,10
1396,158,1,10
1397,267,1,10
1398,383,1,10
1399,241,1,10
1400,144,1,10
1401,291,1,10
1402,241,1,10
1403,241,1,10
1404,383,1,10
1405,241,1,10
1406,776,1,10
1407,144,1,10
1408,36,1,10
1409,291,1,10
1410,776,1,10
1411,291,1,10
1412,158,1,10
1413,241,1,10
1414,36,1,10
1415,158,1,10
1416,241,1,10
1417,241,1,10
1418,776,1,10
1419,144,1,10
1420,158,1,10
1421,766,1,10
1422,241,1,10
1423,776,1,10
1424,158,1,10
1425,241,1,10
1426,144,1,10
1427,766,1,10
1428,144,1,10
1429,158,1,10
1430,241,1,10
1431,158,1,10
1432,158,1,10
1433,158,1,10
1434,144,1,10
1435,291,1,10
1436,158,1,10
1437,383,1,10
1438,383,1,10
1439,776,1,10
1440,291,1,10
1441,158,1,10
1442,766,1,10
1443,241,1,10
1444,241,1,10
1445,241,1,10
1446,776,1,10
1447,158,1,10
1448,241,1,10
1449,383,1,10
1450,144,1,10
1451,766,1,10
1452,776,1,10
1453,158,1,10
1454,241,1,10
1455,241,1,10
1456,241,1,10
1457,36,1,10
1458,776,1,10
1459,144,1,10
1460,766,1,10
1461,766,1,10
1462,291,1,10
1463,158,1,10
1464,766,1,10
1465,241,1,10
1466,241,1,10
1467,766,1,10
1468,241,1,10
1469,144,1,10
1470,144,1,10
1471,291,1,10
1472,158,1,10
1473,158,1,10
1474,776,1,10
1475,144,1,10
1476,158,1,10
1477,158,1,10
1478,383,1,10
1479,241,1,10
1480,144,1,10
1481,144,1,10
1482,383,1,10
1483,383,1,10
1484,144,1,10
1485,291,1,10
1486,52,1,10
1487,158,1,10
1488,241,1,10
1489,36,1,10
1490,158,1,10
1491,766,1,10
1492,776,1,10
1493,291,1,10
1494,158,1,10
1495,158,1,10
1496,993,1,10
1497,241,1,10
1498,144,1,10
1499,766,1,10
1500,241,1,10
1501,241,1,10
1502,291,1,10
1503,158,1,10
1504,158,1,10
1505,776,1,10
1506,600,1,10
1507,158,1,10
1508,241,1,10
1509,241,1,10
1510,776,1,10
1511,766,1,10
1512,159,1,10
1513,383,1,10
1514,241,1,10
1515,144,1,10
1516,159,1,10
1517,383,1,10
1518,241,1,10
1519,144,1,10
1520,383,1,10
1521,241,1,10
1522,241,1,10
1523,158,1,10
1524,158,1,10
1525,766,1,10
1526,158,1,10
1527,241,1,10
1528,776,1,10
1529,776,1,10
1530,144,1,10
1531,158,1,10
1532,158,1,10
1533,776,1,10
1534,158,1,10
1535,776,1,10
1536,383,1,10
1537,241,1,10
1538,688,1,10
1539,158,1,10
1540,241,1,10
1541,241,1,10
1542,241,1,10
1543,52,1,10
1544,158,1,10
1545,776,1,10
1546,383,1,10
1547,241,1,10
1548,158,1,10
1549,158,1,10
1550,241,1,10
1551,776,1,10
1552,158,1,10
1553,241,1,10
1554,144,1,10
1555,144,1,10
1556,144,1,10
1557,158,1,10
1558,785,1,10
1559,766,1,10
1560,241,1,10
1561,52,1,10
1562,158,1,10
1563,241,1,10
1564,291,1,10
1565,776,1,10
1566,158,1,10
1567,158,1,10
1568,383,1,10
1569,383,1,10
1570,776,1,10
1571,776,1,10
1572,383,1,10
1573,241,1,10
1574,688,1,10
1575,776,1,10
1576,291,1,10
1577,383,1,10
1578,383,1,10
1579,776,1,10
1580,144,1,10
1581,600,1,10
1582,52,1,10
1583,159,1,10
1584,383,1,10
1585,158,1,10
1586,241,1,10
1587,241,1,10
1588,52,1,10
1589,158,1,10
1590,159,1,10
1591,600,1,10
1592,291,1,10
1593,52,1,10
1594,158,1,10
1595,158,1,10
1596,776,1,10
1597,144,1,10
1598,241,1,10
1599,776,1,10
1600,241,1,10
1601,776,1,10
1602,383,1,10
1603,158,1,10
1604,144,1,10
1605,158,1,10
1606,776,1,10
1607,526,1,10
1608,766,1,10
1609,688,1,10
1610,526,1,10
1611,158,1,10
1612,241,1,10
1613,144,1,10
1614,158,1,10
1615,144,1,10
1616,158,1,10
1617,663,1,10
1618,241,1,10
1619,241,1,10
1620,158,1,10
1621,241,1,10
1622,158,1,10
1623,158,1,10
1624,241,1,10
1625,158,1,10
1626,785,1,10
1627,776,1,10
1628,144,1,10
1629,600,1,10
1630,241,1,10
1631,600,1,10
1632,241,1,10
1633,158,1,10
1634,785,1,10
1635,383,1,10
1636,241,1,10
1637,776,1,10
1638,158,1,10
1639,241,1,10
1640,526,1,10
1641,52,1,10
1642,158,1,10
1643,158,1,10
1644,785,1,10
1645,241,1,10
1646,52,1,10
1647,776,1,10
1648,158,1,10
1649,158,1,10
1650,241,1,10
1651,241,1,10
1652,52,1,10
1653,158,1,10
1654,785,1,10
1655,241,1,10
1656,52,1,10
1657,785,1,10
1658,241,1,10
1659,776,1,10
1660,785,1,10
1661,785,1,10
